DST_IP,family
34.117.59.81,2
34.120.111.33,2
34.120.133.55,2
34.120.135.53,2
34.120.195.249,2
34.120.202.204,2
34.120.63.153,5
34.149.100.209,6
34.149.128.2,2
34.149.149.62,3
34.149.97.1,5
34.160.128.112,2
34.160.144.191,6
34.160.152.31,2
34.160.176.28,3
34.231.46.31,2
34.243.185.61,2
34.247.201.93,2
34.247.233.198,2
34.252.3.35,2
34.36.216.150,4
34.91.62.186,3
34.96.102.137,2
34.96.70.87,2
34.98.64.218,3
35.186.154.107,3
35.186.193.173,3
35.186.253.211,3
35.190.72.216,3
35.190.80.1,8
35.210.53.219,2
35.214.132.90,3
35.214.149.91,4
35.214.174.141,2
35.214.199.88,2
35.214.228.73,2
35.244.159.8,2
35.244.174.68,3
35.244.181.201,4
35.244.193.51,2
37.157.2.233,2
37.157.3.20,2
37.157.6.243,2
37.252.171.21,3
37.252.171.52,2
40.126.31.71,2
40.126.32.68,3
40.126.32.74,2
41.58.92.162,2
44.197.143.148,2
44.200.43.61,2
44.217.163.18,2
44.230.242.210,2
44.236.161.214,2
44.238.192.228,4
44.240.156.175,2
44.242.121.21,3
45.33.20.235,2
45.61.136.20,2
45.77.45.115,5
45.83.223.233,2
46.228.164.11,3
46.228.174.117,3
46.4.139.58,2
5.135.209.104,2
5.196.111.69,2
50.17.158.69,2
51.132.193.104,2
51.140.242.104,2
51.178.195.151,2
51.178.195.213,2
51.178.195.216,2
51.222.39.81,2
51.77.7.204,2
51.8.64.151,2
51.89.9.254,2
52.109.28.47,2
52.109.68.129,3
52.109.89.19,3
52.111.227.11,6
52.111.227.13,10
52.111.227.14,18
52.111.229.43,6
52.111.229.48,5
52.111.236.21,8
52.111.236.22,5
52.111.236.23,14
52.111.243.29,6
52.111.243.30,11
52.111.243.31,5
52.116.53.150,2
52.123.242.49,2
52.123.242.9,2
52.142.124.215,2
52.142.125.222,2
52.142.223.178,7
52.167.30.171,4
52.168.112.66,2
52.168.117.170,2
52.18.98.47,2
52.19.216.227,2
52.211.206.255,2
52.211.93.38,2
52.214.128.20,2
52.214.212.45,2
52.215.155.11,3
52.30.227.82,2
52.31.166.146,2
52.31.189.203,2
52.33.222.107,4
52.45.64.113,2
52.46.143.56,2
52.46.155.104,2
52.48.126.220,2
52.49.11.76,2
52.49.200.26,2
52.49.214.45,2
52.55.82.157,2
52.57.61.124,2
52.71.57.184,2
52.73.59.20,2
52.84.90.40,2
52.84.90.86,3
52.95.115.196,2
54.146.182.248,2
54.157.168.221,2
54.161.222.85,2
54.163.75.60,2
54.171.111.143,2
54.175.127.147,2
54.194.127.62,2
54.194.204.172,2
54.205.219.75,2
54.217.199.120,4
54.220.14.208,2
54.246.104.97,2
54.246.66.237,2
54.38.113.5,2
54.38.113.7,2
54.73.1.132,2
54.76.31.23,2
54.86.106.244,2
54.93.109.96,2
59.56.110.231,5
63.215.202.137,2
63.215.202.140,3
63.215.202.172,3
63.33.23.71,2
63.34.81.234,2
64.158.223.140,2
64.202.112.223,2
64.227.64.62,3
64.74.236.31,3
67.202.105.22,2
67.202.105.23,2
67.202.105.24,2
67.220.226.232,2
69.166.1.35,2
69.173.151.100,2
69.173.156.148,3
69.173.156.149,4
74.121.140.211,2
74.125.133.84,4
74.125.168.199,2
74.125.175.38,2
74.125.34.46,4
74.125.71.154,4
74.125.71.155,4
74.125.71.157,2
76.223.111.18,3
77.105.132.27,2
77.243.51.122,2
77.88.21.158,3
78.159.112.21,2
78.159.143.172,2
79.125.42.87,2
79.127.237.132,2
8.2.110.134,2
8.238.110.126,2
8.253.208.120,2
80.77.87.166,2
80.82.210.217,3
80.87.192.115,5
82.145.213.8,3
82.145.216.19,2
82.145.216.24,2
82.145.217.121,2
84.32.84.32,2
85.10.211.177,2
87.248.202.1,2
88.221.134.137,2
88.221.134.155,3
88.221.134.209,2
88.221.134.96,2
88.221.135.104,4
88.221.135.27,4
88.221.135.33,3
88.221.83.209,2
88.221.83.224,4
88.221.83.234,2
89.149.193.117,2
89.207.16.201,2
89.207.16.204,3
91.219.236.148,5
91.219.236.18,5
91.228.74.159,3
92.123.140.19,2
92.123.140.25,2
92.123.142.104,2
92.123.142.147,3
92.123.142.200,3
92.123.142.201,2
92.123.142.210,2
92.123.142.89,2
92.123.143.169,2
92.123.143.216,2
92.123.143.235,3
92.123.26.202,2
92.63.107.12,5
